number,survey_id,push_id,crowd_id,crowd_name,record_id,q1_1.过去2年内，您购买过以下哪些产品？_手机贴膜,q1_2.过去2年内，您购买过以下哪些产品？_手机壳,q1_3.过去2年内，您购买过以下哪些产品？_手机充电线/数据线,q1_4.过去2年内，您购买过以下哪些产品？_充电宝/移动电源,q1_5.过去2年内，您购买过以下哪些产品？_无线蓝牙耳机,q1_6.过去2年内，您购买过以下哪些产品？_智能手表/手环,q1_7.过去2年内，您购买过以下哪些产品？_平板电脑,q1_8.过去2年内，您购买过以下哪些产品？_平板电脑保护套/壳,q1_9.过去2年内，您购买过以下哪些产品？_鼠标/机械键盘,q1_10.过去2年内，您购买过以下哪些产品？_贴片面膜,q1_11.过去2年内，您购买过以下哪些产品？_洗面奶/洁面乳,q1_12.过去2年内，您购买过以下哪些产品？_直升机,q1_13.过去2年内，您购买过以下哪些产品？_抽纸/卷纸,q1_14.过去2年内，您购买过以下哪些产品？_洗衣液/洗衣凝珠,q1_15.过去2年内，您购买过以下哪些产品？_T恤/裙子,q1_16.过去2年内，您购买过以下哪些产品？_运动鞋,q1_17.过去2年内，您购买过以下哪些产品？_薯片/膨化食品,q1_18.过去2年内，您购买过以下哪些产品？_奶茶/咖啡,q1_19.过去2年内，您购买过以下哪些产品？_室内绿植/花卉,q1_20.过去2年内，您购买过以下哪些产品？_桌面收纳,q2.您最近一次购买平板保护套大约是在什么时候？,q3.您最近购买的平板保护套单价大约是多少？,q4.您在购买该平板保护套时的决策角色是？,q5.您目前主要使用的平板电脑品牌是？,q6_1.您本人或您的亲友是否在以下行业工作？_市场研究/调研公司,q6_2.您本人或您的亲友是否在以下行业工作？_广告/公关/媒体传播机构,q6_3.您本人或您的亲友是否在以下行业工作？_数码配件生产、销售、运营相关行业,q6_4.您本人或您的亲友是否在以下行业工作？_新闻/报纸/电视台/自媒体,q6_5.您本人或您的亲友是否在以下行业工作？_互联网/IT/软件服务,q6_6.您本人或您的亲友是否在以下行业工作？_医疗/健康/生物制药,q6_7.您本人或您的亲友是否在以下行业工作？_教育/培训/科研,q6_8.您本人或您的亲友是否在以下行业工作？_以上均无,q7_1.过去3个月内，您参加过以下哪些类型的调研活动？_手机/数码配件类,q7_2.过去3个月内，您参加过以下哪些类型的调研活动？_汽车/交通出行类,q7_3.过去3个月内，您参加过以下哪些类型的调研活动？_食品/饮料/餐饮类,q7_4.过去3个月内，您参加过以下哪些类型的调研活动？_美妆/个人护理类,q7_5.过去3个月内，您参加过以下哪些类型的调研活动？_均未参加过,q8.您的最高学历是？,q9_1.您目前使用的平板保护套类型更接近以下哪一种？_单壳（不带盖板）保护套,q9_2.您目前使用的平板保护套类型更接近以下哪一种？_普通翻盖保护套,q9_3.您目前使用的平板保护套类型更接近以下哪一种？_ 磁吸不可拆分保护套,q9_4.您目前使用的平板保护套类型更接近以下哪一种？_旋转可拆分磁吸保护套,q9_5.您目前使用的平板保护套类型更接近以下哪一种？_带笔槽保护套,q9_6.您目前使用的平板保护套类型更接近以下哪一种？_键盘保护套,q9_7.您目前使用的平板保护套类型更接近以下哪一种？_透明/半透明保护壳,q9_8.您目前使用的平板保护套类型更接近以下哪一种？_不确定,q9_9.您目前使用的平板保护套类型更接近以下哪一种？_其他,q9_9_text.您目前使用的平板保护套类型更接近以下哪一种？_其他,q10_1.您购买平板保护套时，通常会关注哪些因素？_防摔防磕/保护性强,q10_2.您购买平板保护套时，通常会关注哪些因素？_支架稳定/角度好用,q10_3.您购买平板保护套时，通常会关注哪些因素？_触控笔收纳和拿取方便,q10_4.您购买平板保护套时，通常会关注哪些因素？_材质手感好,q10_5.您购买平板保护套时，通常会关注哪些因素？_不易沾指纹/不易显脏,q10_6.您购买平板保护套时，通常会关注哪些因素？_外观好看/有设计感,q10_7.您购买平板保护套时，通常会关注哪些因素？_颜色选择丰富,q10_8.您购买平板保护套时，通常会关注哪些因素？_轻薄便携,q10_9.您购买平板保护套时，通常会关注哪些因素？_品牌可信/品质稳定,q10_10.您购买平板保护套时，通常会关注哪些因素？_价格合适/性价比高,q10_11.您购买平板保护套时，通常会关注哪些因素？_耐用不易坏,q10_12.您购买平板保护套时，通常会关注哪些因素？_与平板搭配协调,q10_13.您购买平板保护套时，通常会关注哪些因素？_其他,q10_13_text.您购买平板保护套时，通常会关注哪些因素？_其他,q11_1.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_防摔防磕/保护性强,q11_2.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_支架稳定/角度好用,q11_3.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_触控笔收纳和拿取方便,q11_4.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_材质手感好,q11_5.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_不易沾指纹/不易显脏,q11_6.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_外观好看/有设计感,q11_7.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_颜色选择丰富,q11_8.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_轻薄便携,q11_9.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_品牌可信/品质稳定,q11_10.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_价格合适/性价比高,q11_11.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_耐用不易坏,q11_12.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_与平板搭配协调,q11_13.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_其他,q12.如果购买一款质量、保护性和外观设计都比较好的iPad平板保护套，在不考虑具体品牌和促销活动的情况下，以下哪个价格区间最符合您的日常心理预期？,q13.未来6个月内，您是否有购买或更换平板保护套的计划？,q14.下面是一款市面上常见的【普通款】旋转磁吸拆分平板保护壳，售价为99元。 该产品支持磁吸拆分、横竖屏旋转和日常支撑使用，可满足看剧、学习、办公等平板使用场景。请根据您自己的真实购买判断作答以下题目。,q15_1.如果您近期需要购买平板保护套，看到这款99元旋转磁吸拆分平板保护壳，您的购买意愿是？_ 购买意愿,q16_1.您认为这款99元旋转磁吸拆分平板保护壳对您的吸引力如何？_ 吸引力,q17_1.您觉得这款产品最吸引您的地方是？_可旋转使用,q17_2.您觉得这款产品最吸引您的地方是？_磁吸拆分方便,q17_3.您觉得这款产品最吸引您的地方是？_支撑看剧/学习/办公,q17_4.您觉得这款产品最吸引您的地方是？_价格合适,q17_5.您觉得这款产品最吸引您的地方是？_外观看起来简洁,q17_6.您觉得这款产品最吸引您的地方是？_保护性较好,q17_7.您觉得这款产品最吸引您的地方是？_品牌/品质感较好,q17_8.您觉得这款产品最吸引您的地方是？_没有特别吸引我的地方,q17_9.您觉得这款产品最吸引您的地方是？_其他,q17_9_text.您觉得这款产品最吸引您的地方是？_其他,q18.下面是一款在刚才99元【普通款】旋转磁吸拆分平板壳基础上进一步升级的新款产品。该【升级光面款】在保留磁吸拆分、横竖屏旋转和支撑使用功能的基础上，新增了以下三个升级点： ①四角气囊防护外显，提升防摔防磕的安全感； ②重新设计侧面直取笔槽，触控笔可从侧面直接拿取； ③提供更丰富、更个性化的配色选择。 请您先不考虑具体售价，只根据产品外观、功能和使用感受进行判断。,q19_1.不考虑价格，您对这款升级光面款平板保护套的购买意愿是？_ 购买意愿,q20_1.请评价以下升级点对您的吸引力。_四角气囊防护外显,q20_2.请评价以下升级点对您的吸引力。_侧面直取笔槽,q20_3.请评价以下升级点对您的吸引力。_更丰富、更个性化的配色选择,q21.相比刚才99元的【普通款】旋转磁吸拆分平板保护壳，如果新款增加“四角气囊防护外显、侧面直取笔槽、个性化配色”这三个升级点，您最多愿意多支付多少钱？,q22.如果这款升级光面款 iPad 平板保护套售价为 119.9 元，您的购买意愿是？,q23.如果同一款升级光面款 iPad 平板保护套售价为 129.9 元，您的购买意愿是？,q24.如果同一款升级光面款 iPad 平板保护套售价为 139.9 元，您的购买意愿是？,q25.如果同一款升级光面款 iPad 平板保护套售价为 109.9 元，您的购买意愿是？,q26.如果同一款升级光面款 iPad 平板保护套售价为 99.9 元，您的购买意愿是？,q27_text.您愿意或不愿意为这三个升级点多付钱的主要原因是什么,q28.下面是一款在刚才升级光面款基础上进一步升级的【光栅款】平板保护套。 它保留前面【升级光面款】的四角气囊防护外显、侧面直取笔槽和个性化配色，同时将背板进一步升级为光栅纹理背板，具有微磨砂质感，相比普通光面背板更不易沾指纹。 除背板材质和纹理表现外，其他主要功能与升级光面款基本一致。 请您先不考虑具体售价，只根据产品外观、材质和使用感受进行判断。,q29_1.不考虑价格，您对这款光栅款平板保护套的购买意愿是？_ 购买意愿,q30_1.请评价以下光栅背板特点对您的吸引力。_光栅纹理背板的视觉效果,q30_2.请评价以下光栅背板特点对您的吸引力。_微磨砂质感,q30_3.请评价以下光栅背板特点对您的吸引力。_相比普通光面背板更不易沾指纹,q30_4.请评价以下光栅背板特点对您的吸引力。_整体看起来更特别/更有设计感,q31.基于刚才的升级光面款，如果背板进一步升级为了现在这样“光栅纹理、微磨砂质感、不易沾指纹”，您最多愿意额外多支付多少钱？,q32.如果这款光栅款 iPad 平板保护套售价为 129.9 元，您的购买意愿是？,q33.如果这款光栅款 iPad 平板保护套售价为 139.9 元，您的购买意愿是？,q34.如果这款光栅款 iPad 平板保护套售价为 149.9 元，您的购买意愿是？,q35.如果这款光栅款 iPad 平板保护套售价为 119.9 元，您的购买意愿是？,q36.如果这款光栅款 iPad 平板保护套售价为 109.9 元，您的购买意愿是？,q37_text.您愿意或不愿意为光栅背板多付钱的主要原因是什么？,q38.如果品牌最终只能在以下两款新品中选择一款推出，您更希望购买哪一款？,q39_text.请简单说明您这样选择的主要原因。,q40.您购买数码配件时，是否愿意为外观设计、材质质感或颜色支付更高价格？,q41.您的性别是？,q42.您的年龄是？,q43.您目前的身份/职业是？,城市等级,购买力等级,人生阶段,常用收货省份,常用收货城市
394,286083,726476,1024659,3C数码,88907404,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,4,,,,,1,,,,,,,,1,1,,,,1,,,,,,,,,1,2,,,,3,,,,,,5,2,1,2,2,1,1,,,,,,,,,1,1,1,1,1,5,1,1,2,,,愿意多付钱，但是有额度，多付太多就不行了。,1,2,2,2,1,1,5,2,2,4,,,太贵了，溢价太多。,3,个人感觉差不多，区别不明显。,2,1,3,2,五线,偏低,"已婚,育婴期,已育,装修期,已有房,已有车",广西壮族自治区,南宁市
395,286083,726476,1024659,3C数码,88907418,,1,1,,,,,1,,,,,,,,,,,,1,1,5,1,1,,,,,,,,1,,,,,1,4,,1,1,,,1,,,,,1,1,1,,,1,,1,,,1,,,,2,4,6,,,5,,3,,,1,,,5,2,1,1,1,1,1,1,1,,1,1,,,,1,1,1,1,2,6,1,1,2,,,保护性好，有笔槽方便，配色更好看更多选择,1,1,1,1,2,2,6,1,1,2,,,保护性好，同时防指纹，功能比较全面，外观配色比较好看。,2,保护性好，可以防指纹，功能比较全面，外观颜色比较好看。,1,1,4,4,三线,偏低,"单身,育婴期",河北省,石家庄市
396,286083,726476,1024659,3C数码,88907429,1,1,1,1,,1,1,1,,1,1,,1,1,1,1,,1,1,,2,4,1,1,,,,,,,,1,,,,,1,4,,,1,,,,,,,,1,1,,,1,,,1,1,,1,,,,1,2,,,5,,,3,6,,4,,,4,2,1,2,1,1,1,,1,,1,,,,,1,2,4,2,4,1,4,,,4,2,太丑了，那些配色加外显设计欣赏不来,1,4,4,2,2,4,1,4,,,4,4,更丑了，谁想出来的啊，真的没必要弄成一条一条的，还是鲜艳配色 欣赏不来，太不耐看了,1,主要是光栅太丑了，这名字也不好听啊拜托,2,1,4,2,二线,低,已婚,福建省,泉州市
397,286083,726476,1024659,3C数码,88907458,,1,1,1,1,,1,,,1,,,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,1,,,,,1,5,,1,1,,,,,,,,1,1,,,,1,,,,,,,,,2,3,,,,1,,,,,,,,2,1,1,2,2,,1,,,,,,,,,1,1,1,1,1,3,2,3,,,,性价比不够高,1,2,3,2,2,2,2,2,4,,,,光栅设计不太吸引我,1,外观更好看些,2,1,4,2,二线,偏低,"已婚,育婴期,已育,已有房,已有车",山东省,济南市
398,286083,726476,1024659,3C数码,88907472,1,1,1,,1,,,1,,,1,,,,1,,1,1,,,1,5,1,1,,,,,,,,1,,,,,1,4,,1,1,,1,,,,,,1,1,1,1,,,1,,,,1,1,,,1,2,4,5,,,6,,,,3,7,,5,1,1,1,2,1,1,,,1,1,,,,,1,2,1,2,3,5,1,2,2,,,防护更多更便利,1,1,1,1,1,2,5,1,2,3,,,性价比,3,更喜欢软的材质,1,1,2,2,四线,偏低,单身,河北省,廊坊市
399,286083,726476,1024659,3C数码,88907498,,1,1,1,,,1,1,,,1,,,,1,1,,1,,,1,5,1,1,,,,,,,,1,,,,,1,4,,1,,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,2,6,5,8,7,4,3,10,12,9,11,,5,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,2,1,5,1,1,1,,,更更好的保护我的平板电脑，四个角有气囊，防护性更强，而且磁吸可旋转，能任意调节角度，更方便使用，能取笔槽，方便使用，颜色可选更多,1,1,1,2,1,1,3,1,1,2,,,嗯，感觉从功能上没有特别的需求，嗯，不至于是必付钱的选项，如果性价比更高一些，感觉更好,1,光面款性价比上更高，而且基本功能就已经能够满足了，效果也比较好，使用上感觉也很便利了呃，当价格要加很多的时候，就没有必要额外的功能,1,1,3,2,二线,偏低,准备结婚期,天津,天津市
400,286083,726476,1024659,3C数码,88907505,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,3,1,1,,,,,,,,1,,,,,1,3,,,1,,1,,,,,,1,1,,,,,,,1,1,,,,,2,3,,,,,,,4,1,,,,3,1,1,2,2,1,1,1,,,1,,,,,1,1,1,2,3,3,2,2,4,,,一体化支架设计，设备防护很到位，,1,1,1,1,1,1,4,1,2,4,,,外观更满足审美,2,防滑，散热性能优化，颜值高，不沾指纹,1,1,3,4,二线,偏高,"准备结婚期,已有车",重庆,重庆市
401,286083,726476,1024659,3C数码,88907507,1,1,1,1,1,,1,1,1,1,1,,1,1,,,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,4,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,1,,1,,,1,2,6,7,3,10,9,5,,4,,8,,5,1,1,1,1,1,,,,,1,,,,,1,2,1,2,1,5,1,2,2,,,安全性更高,1,2,2,2,2,3,3,2,2,4,,,溢价太多了,2,不易沾指纹,2,1,3,3,三线,偏低,"已婚,育婴期",浙江省,金华市
402,286083,726476,1024659,3C数码,88907521,,,1,,1,1,1,1,1,,1,,1,,,,1,1,1,1,1,2,1,1,,,,,,,,1,,,,,1,5,,,1,,,,,,,,1,,,1,,1,,1,,1,,,,,1,,,4,,2,,3,,5,,,,2,3,1,3,2,1,1,,,,,,,,,1,3,2,3,2,2,3,,,3,3,这些材料感觉没那么贵，虽然设计还可以,1,2,2,1,2,2,3,3,,,3,3,比普通的贵了，还是希望可以优惠,2,耐脏耐摩,2,1,5,4,三线,低,未知,福建省,厦门市
403,286083,726476,1024659,3C数码,88907523,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,4,,,1,,,,,,,,1,,1,1,1,1,,,1,1,1,1,,,6,,8,7,3,4,,,9,1,2,5,,4,1,1,2,2,,1,,,1,,,,,,1,4,2,2,2,2,2,2,3,,,这几个点不应该自动升级吗？,1,3,4,3,3,3,1,4,,,4,3,不好看这个设计很奇怪,1,这个设计简洁大方，不复杂,2,1,3,2,五线,偏高,"准备结婚期,育婴期,已育",广东省,揭阳市
404,286083,726476,1024659,3C数码,88907545,,,,,,,1,,,,1,,1,1,,,1,1,,,2,5,1,1,,,,,,,,1,,,,,1,4,,,1,,,,,,,,,1,,,,1,,,,,,,,,,2,,,,1,,,,,,,,6,2,1,2,1,1,,,1,,,,,,,1,2,2,3,2,5,2,2,3,,,没有太本质的变化,1,3,3,2,2,2,5,2,2,3,,,提升不多,2,防指纹,2,2,5,2,二线,中等,单身,四川省,成都市
405,286083,726476,1024659,3C数码,88907557,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,5,,,1,1,,,1,,,,1,,1,1,,1,,,1,1,,1,,,1,,4,6,,5,,,3,7,,2,,5,1,1,1,2,1,1,1,,1,,,,,,1,2,1,2,2,3,2,2,2,,,这个配色不是很好看，而且太简洁啦，,1,2,2,1,2,3,4,2,1,3,,,好像并不是很需要这个功能，而且这个配色真的不太适合女生吧,1,一方面是我的心里价位，另外一方面是配色问题，而且多出来的几个功能好像并不是很有用啊,2,1,3,2,六线,中等,"准备结婚期,育婴期,已育",云南省,曲靖市
406,286083,726476,1024659,3C数码,88907566,1,1,1,1,,,,1,1,1,1,,1,1,1,,1,1,,1,1,6,1,1,,,,,,,,1,,,,,1,4,,,,,1,1,,,,,1,1,1,1,,,1,1,1,,,1,,,2,1,7,5,,,4,3,6,,,8,,6,2,1,2,2,1,1,,1,1,,1,,,,1,2,1,2,1,5,2,2,2,,,因为升级过后，我觉得功能性有加强吧，材质肯定是有升级，我主要是觉得他的颜色丰富，价格合理,1,2,2,2,1,1,5,1,2,2,,,因为他能够不留下指纹，我觉得很干净，不容易粘灰粘东西,3,感觉各有各的特点，我觉得价格是我能够接受的,1,1,3,2,二线,偏低,"准备结婚期,已有车",四川省,成都市
407,286083,726476,1024659,3C数码,88907582,,1,,,,,,1,,,,,,,,,,,,1,1,5,1,1,,,,,,,,1,,,,,1,5,,1,,1,1,,1,,,,1,1,1,1,,,,1,,,1,,,,1,4,6,5,,,,3,,,2,,,5,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,6,1,1,1,,,因为它这个保护套能够足够的保护平板不被磕碰，不去刮伤，而且还有防滑减震的功效，这样在日常中就特别的需要。很方便，而且颜值也很高,1,1,1,1,1,1,6,1,1,1,,,我感觉光格背板它有很强的摩擦力，它不会一下子手滑掉到地上，对平板有一定的保护作用。我觉得这一点就很好，日常用起来一定是很方便的,1,首先它有一定的防滑功效，然后呢它再是光面的，用起来手感就一定是很好的，然后它的颜值上也是很高的，所以我愿意去选它,1,1,3,6,五线,中等,恋爱期,辽宁省,锦州市
409,286083,726476,1024659,3C数码,88907716,,1,1,,,,,1,,1,1,,,,1,,1,1,,,1,4,1,1,,,,,,1,1,,,,1,1,,4,,,,,,1,,,,,1,1,,,1,,,,,,,,,,1,3,,,2,,,,,,,,,4,2,1,1,1,1,1,,,,1,,,,,1,1,1,2,1,3,2,2,2,,,配色简单,1,2,2,2,1,2,2,2,2,2,,,防指纹效果好,1,价格合理,1,1,4,4,二线,偏低,准备结婚期,四川省,成都市
410,286083,726476,1024659,3C数码,88907789,,,1,,1,,,1,,1,1,,1,1,1,1,1,1,1,,1,3,1,1,,,,,,,,1,,,,,1,4,,,,,,1,,,,,1,1,1,,,,1,1,,,1,1,,,2,5,3,,,,6,4,,,7,1,,4,2,1,2,1,1,1,1,1,1,,,,,,1,2,1,2,1,6,1,2,2,,,四角防摔气囊，颜色多选比较有吸引力，另外可拆分也可以，现在的这款是一体的，特别不方便。,1,2,2,2,2,3,5,2,2,4,,,相较光面背板来说，防指纹也没有多大的吸引力，多个10元左右可以接受，多了就不值得了。,1,平时使用，比较在意误摔会不会损坏平板，所以有防撞气囊很重要，另外本人比较喜欢个性化的颜色，讨厌千篇一律的黑白灰。,1,1,4,2,四线,低,"已婚,已育,已有房,已有车",山东省,枣庄市
411,286083,726476,1024659,3C数码,88907796,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,4,,,,,1,,,,,,1,1,1,,1,,,1,1,1,,1,,,1,5,3,,4,,,6,7,8,,2,,5,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,5,1,1,1,,,愿意为这升级的三个点多付钱的原因是因为他保护他的质量，品格有有上升，然后他的笔槽的便利性，还有从保护电脑的这个防护性上面还有这个外观，外观和日常体验这个方面是愿意多加这个钱的。,1,1,1,1,1,1,5,1,1,1,,,这款看起来更高级些,2,这款看起来更高级，外观看起来是我的菜,1,1,3,2,六线,偏高,"已婚,育婴期,已育,装修期",安徽省,六安市
412,286083,726476,1024659,3C数码,88907811,1,1,1,1,,,,1,1,1,,,,,,1,,,,,1,5,1,1,,,,,,,,1,,,,,1,4,,,1,,1,,,,,,1,1,1,1,1,1,,1,1,,,1,,,1,2,3,5,4,7,,8,9,,,6,,5,1,1,1,1,1,1,1,,1,1,1,,,,1,2,1,2,2,5,1,1,2,,,愿意付费是因为有边角保护，而且磁吸可拆分，还能定制自己喜欢的配色,1,1,1,1,1,1,5,1,1,1,,,磨砂壳是我一生最爱，高端大气上档次，手感又好又不容易滑落,2,我更喜欢磨砂感的平板壳，更有质感，手感也好，不容易滑落,1,1,4,3,一线,中等,"已婚,育婴期,已育,孝敬期",广东省,深圳市
413,286083,726476,1024659,3C数码,88907820,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,5,1,1,,,,,,,,1,,,,,1,5,,1,,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,,1,,,1,2,10,6,4,7,11,8,5,3,,9,,2,2,1,1,1,1,1,,1,,1,,,,,1,1,1,1,2,3,1,2,4,,,溢价太高，便宜点还可以。,1,1,1,1,1,1,3,2,2,4,,,不沾指纹这个功能很好。所以可以多付一点。,2,主要是不沾指纹这个功能。很适合我。夏天手比较容易出汗，张指纹不太好。,1,1,4,2,一线,偏低,"准备结婚期,已有车",北京,北京市
414,286083,726476,1024659,3C数码,88907873,1,1,,1,,1,1,1,,1,1,,,1,,1,1,1,,,1,5,1,1,,,,,,,,1,,,,,1,4,,1,1,,1,,1,,,,1,1,,1,,1,,,1,,1,,,,1,3,,4,,5,,,2,,6,,,5,2,1,2,2,,1,,,,1,,,,,1,2,2,2,4,2,3,,,3,3,配色好难看，不喜欢，防护还可以，多做点配色吧,1,2,3,2,2,4,1,3,,,3,4,不喜欢这个纹路,1,都不好看，其实，相比之下更不喜欢光栅的纹路，跟窗帘布一样,2,1,3,2,一线,中等,单身,广东省,广州市
415,286083,726476,1024659,3C数码,88907916,1,1,1,1,1,,,1,,1,1,,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,1,,,,,1,4,,,1,,,,,,,,1,,1,1,,,,,,,,,,,1,,3,2,,,,,,,,,,2,1,1,2,2,1,,,,,,,,,,1,2,1,2,3,3,2,2,3,,,防护,1,2,1,1,1,1,3,1,2,3,,,喜欢磨砂质感,2,更喜欢磨砂质感,1,1,3,3,二线,偏低,"已婚,已育,已有房,已有车",江苏省,南京市
416,286083,726476,1024659,3C数码,88908113,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,7,1,1,,,,,,,1,,,,,,1,5,,1,1,,,1,,,,,1,1,,1,,,1,,1,,,,,,3,2,,1,,,5,,4,,,,,7,2,1,2,3,,,1,,1,,,,,,1,2,3,3,2,5,2,3,,,,就是比之前那款功能更多吧,1,3,3,3,2,3,5,3,,,3,2,说实在的 我不怎么喜欢,3,我不喜欢保护壳的设计,1,2,3,2,三线,低,"已婚,装修期,已有房,已有车",江苏省,镇江市
417,286083,726476,1024659,3C数码,88908116,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,6,2,1,,,,,,,1,,,,,,1,5,,,,1,1,1,,,,,,1,1,1,1,1,1,,,,,1,,,,1,2,3,4,6,7,,,,,5,,6,1,1,1,2,1,1,,,1,,,,,,1,1,1,1,2,6,1,2,1,,,材质和设计都增加了亮点，而且价格增加幅度也不大,1,1,1,1,1,2,6,2,2,2,,,设计了磨砂的手感是我很喜欢的,1,设计了磨砂的手感但我还是喜欢光面的设计，使用时候有笔槽的习惯,1,1,3,4,二线,中等,"已婚,育婴期,已育,装修期,已有车",天津,天津市
418,286083,726476,1024659,3C数码,88908120,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,4,1,1,,,,,,,,1,,,,,1,4,,,1,1,,1,1,,,,1,1,,1,1,1,1,1,1,,1,1,,,1,7,,3,2,5,6,9,8,,10,4,,5,1,1,1,1,1,1,,,1,1,,,,,1,1,1,2,1,5,1,1,2,,,防护措施齐全,1,1,2,1,1,2,4,1,2,2,,,防指纹,2,防指纹,1,1,3,2,一线,偏低,单身,北京,北京市
419,286083,726476,1024659,3C数码,88908124,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,6,1,1,,,,,,,,1,,,,,1,5,,,1,1,,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,2,1,12,8,4,11,10,9,6,5,3,7,,6,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,6,1,1,1,,,防护好，外观好看，日常使用方便,1,1,1,1,1,1,6,1,1,2,,,外观设计风格简约，质感非常不错,2,外观设计理念很不错，材质更好，功能强大,1,1,3,4,六线,偏低,已婚,山西省,运城市
420,286083,726476,1024659,3C数码,88908129,1,1,1,1,1,1,,1,1,1,1,,1,1,,1,1,,,,1,6,1,1,,,,,,,,1,,,,,1,4,,,,1,1,,,,,,1,1,1,1,1,,,,,1,,,,,1,2,6,3,5,,,,,4,,,,6,1,1,1,2,1,1,1,,,,,,,,1,1,1,2,1,5,2,1,2,,,如果防护比较好，笔比较好拿，我愿意支付溢价，因为对于我来说非常方便的,1,1,2,1,2,1,5,1,2,1,,,因为不容易留指纹还有脏东西,1,我喜欢光面的东西,1,1,3,3,五线,中等,未知,江西省,赣州市
421,286083,726476,1024659,3C数码,88908133,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,4,1,1,,,,,,,,1,,,,,1,4,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,5,7,6,4,9,11,12,3,10,2,8,,4,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,2,6,1,1,1,,,安全，好看好用,1,1,1,1,1,2,6,1,1,1,,,高端大气，颜色鲜艳,3,高端大气上档次,1,1,3,2,一线,低,"准备结婚期,已有车",广东省,广州市
422,286083,726476,1024659,3C数码,88908138,1,1,,,,,,1,,1,,,1,1,,1,1,1,1,1,1,6,1,1,,,,,,,,1,,,,1,,4,,,,1,,,,,,,1,1,,1,1,,,1,1,,1,1,,,1,5,,7,6,,,4,3,,8,2,,6,2,1,2,2,,1,,1,1,1,,,,,1,1,1,2,2,5,1,2,2,,,防护气囊,1,2,2,2,2,2,7,2,2,3,,,防指纹,2,达到需要,2,1,5,3,二线,偏低,"已婚,育婴期,已育,装修期,已有房,已有车",江苏省,苏州市
423,286083,726476,1024659,3C数码,88908164,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,2,3,1,1,,,,,,,,1,,,,,1,4,,,1,,,,1,,,,1,1,,,,1,,,,1,1,,,,1,4,,,,2,,,,3,5,,,3,2,1,2,2,1,1,1,1,1,,,,,,1,2,2,1,1,3,2,3,,,,感觉升级的功能的质感没有那么强烈，而且变得更厚重一些,1,2,2,1,2,2,3,3,,,2,,感觉是比较普通的一个升级和功能,2,感觉质感会更好一些，摸起来更舒适,2,1,4,2,二线,低,已婚,浙江省,杭州市
