编号,记录ID,投放ID,人群ID,人群名称,多选题,单选题,单选题,单选题,单选题,多选题,多选题,单选题,多选题,多选题,排序题,单选题,单选题,单选题,单选矩阵题,单选矩阵题,多选题,单选题,单选矩阵题,单选矩阵题,单选题,单选题,单选题,单选题,单选题,单选题,多行文本题,单选题,单选矩阵题,单选矩阵题,单选题,单选题,单选题,单选题,单选题,单选题,多行文本题,单选题,单选题,多行文本题,单选题,单选题,单选题,单选题,城市等级,购买力等级,人生阶段,常用收货省份,常用收货城市
476,是,88909307,726476,1024659,"平板电脑保护套/壳,手机壳,抽纸/卷纸,室内绿植/花卉,薯片/膨化食品,洗面奶/洁面乳,洗衣液/洗衣凝珠,贴片面膜,无线蓝牙耳机,奶茶/咖啡",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,硕士及以上,"普通翻盖保护套,单壳（不带盖板）保护套,透明/半透明保护壳","防摔防磕/保护性强,外观好看/有设计感,与平板搭配协调","外观好看/有设计感,防摔防磕/保护性强,与平板搭配协调",120-149元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,保护性较好",我已认真阅读,购买意愿: [说不清],四角气囊防护外显: [比较吸引];更丰富、更个性化的配色选择: [比较吸引];侧面直取笔槽: [一般],愿意多付11-15元,说不清,-,-,说不清,可能会购买,愿意实用性多功能,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付11-15元,可能不会购买,-,-,说不清,可能会购买,手感好,13.83s,光栅款,多用性质感好可以加,有时会,女,25-30岁,其他,一线,偏低,"准备结婚期,育婴期,装修期,已有车",广东省,广州市
477,是,88909340,726476,1024659,"平板电脑,充电宝/移动电源,T恤/裙子,运动鞋,室内绿植/花卉,薯片/膨化食品,洗衣液/洗衣凝珠,智能手表/手环,奶茶/咖啡,贴片面膜,无线蓝牙耳机,抽纸/卷纸,手机壳,平板电脑保护套/壳,洗面奶/洁面乳,手机充电线/数据线,手机贴膜,鼠标/机械键盘",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"普通翻盖保护套,磁吸不可拆分保护套,旋转可拆分磁吸保护套","轻薄便携,外观好看/有设计感,材质手感好","轻薄便携,材质手感好,外观好看/有设计感",120-149元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"磁吸拆分方便,保护性较好,品牌/品质感较好",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付16-20元,可能会购买,可能会购买,可能会购买,-,-,多一个功能，或者多一个出彩的地方是可以适当加价的，毕竟一分钱一分货。防护，便利性都是比较不错的。,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付21元及以上,可能会购买,可能会购买,可能会购买,-,-,可以防指纹吧，油皮很容易留指纹，很不爽，防指纹功能很有用,49.08s,光栅款,防指纹功能，比较吸引人。,经常会,女,31-35岁,企业职员,二线,低,未知,重庆,重庆市
478,是,88909369,726476,1024659,"平板电脑保护套/壳,薯片/膨化食品,奶茶/咖啡,手机壳,洗面奶/洁面乳,抽纸/卷纸,室内绿植/花卉,运动鞋",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"普通翻盖保护套,带笔槽保护套,磁吸不可拆分保护套","防摔防磕/保护性强,支架稳定/角度好用,触控笔收纳和拿取方便,轻薄便携,颜色选择丰富,材质手感好,与平板搭配协调","防摔防磕/保护性强,支架稳定/角度好用,触控笔收纳和拿取方便,轻薄便携,材质手感好,与平板搭配协调,颜色选择丰富",120-149元,可能会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"磁吸拆分方便,外观看起来简洁,品牌/品质感较好,可旋转使用",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,肯定会购买,-,-,防护升级，配色清新，有质感，日常使用方便,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付16-20元,肯定会购买,肯定会购买,肯定会购买,-,-,外观更好看，质感更好，防指纹，耐看,42.1s,两款都可以，没有明显偏好,我可能两个都会买，都挺喜欢的，自己会买很多壳子,经常会,女,25-30岁,专业人士,二线,中等,"已婚,已育,已有房,已有车",湖北省,武汉市
479,是,88909400,726476,1024659,"平板电脑保护套/壳,平板电脑,手机贴膜",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,医疗/健康/生物制药,均未参加过,本科,"透明/半透明保护壳,单壳（不带盖板）保护套,普通翻盖保护套","支架稳定/角度好用,防摔防磕/保护性强,材质手感好","防摔防磕/保护性强,支架稳定/角度好用,材质手感好",200元及以上,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,保护性较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,肯定会购买,-,-,愿意,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,肯定会购买,-,-,好用,10.39s,升级光面款,功能好,经常会,女,31-35岁,自由职业/个体经营,五线,低,未知,河北省,保定市
480,是,88909407,726476,1024659,"洗衣液/洗衣凝珠,充电宝/移动电源,贴片面膜,无线蓝牙耳机,手机充电线/数据线,平板电脑,智能手表/手环,抽纸/卷纸,手机贴膜,鼠标/机械键盘,运动鞋,薯片/膨化食品,奶茶/咖啡,手机壳,室内绿植/花卉,T恤/裙子,洗面奶/洁面乳,平板电脑保护套/壳,桌面收纳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"普通翻盖保护套,键盘保护套,带笔槽保护套","与平板搭配协调,支架稳定/角度好用,防摔防磕/保护性强","与平板搭配协调,支架稳定/角度好用,防摔防磕/保护性强",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,支撑看剧/学习/办公,磁吸拆分方便",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付21元及以上,肯定会购买,可能会购买,可能会购买,-,-,符合我的喜好,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付16-20元,可能会购买,可能会购买,可能会购买,-,-,更高级,8.27s,两款都可以，没有明显偏好,两款都符合我的喜好,经常会,女,31-35岁,自由职业/个体经营,二线,偏低,"准备结婚期,育婴期,已有房",江苏省,常州市
481,是,88909417,726476,1024659,"贴片面膜,充电宝/移动电源,手机贴膜,手机充电线/数据线,奶茶/咖啡,抽纸/卷纸,薯片/膨化食品,T恤/裙子,手机壳,平板电脑保护套/壳,无线蓝牙耳机,智能手表/手环",近13-24个月内,80–99元,主要由我自己决定，偶尔参考他人意见,Apple（苹果）,教育/培训/科研,均未参加过,硕士及以上,"带笔槽保护套,键盘保护套,透明/半透明保护壳","防摔防磕/保护性强,材质手感好,品牌可信/品质稳定,耐用不易坏,与平板搭配协调","防摔防磕/保护性强,耐用不易坏,与平板搭配协调,品牌可信/品质稳定,材质手感好",80-99元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [比较吸引],"磁吸拆分方便,可旋转使用",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付16-20元,肯定会购买,可能会购买,可能会购买,-,-,实用效果好，满足需求,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付6-10元,可能会购买,说不清,-,-,-,感觉功能重要性不强,11.97s,升级光面款,看起来更加舒服，同样价位更愿意选择光面的,有时会,女,25-30岁,专业人士,二线,低,未知,广东省,佛山市
482,是,88909419,726476,1024659,"洗面奶/洁面乳,无线蓝牙耳机,贴片面膜,鼠标/机械键盘,洗衣液/洗衣凝珠,手机壳,充电宝/移动电源,奶茶/咖啡,平板电脑,薯片/膨化食品,智能手表/手环,T恤/裙子,桌面收纳,室内绿植/花卉,运动鞋,平板电脑保护套/壳,手机充电线/数据线,手机贴膜,抽纸/卷纸",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"单壳（不带盖板）保护套,普通翻盖保护套,磁吸不可拆分保护套,旋转可拆分磁吸保护套,带笔槽保护套,键盘保护套,透明/半透明保护壳","防摔防磕/保护性强,触控笔收纳和拿取方便,颜色选择丰富,支架稳定/角度好用,材质手感好,外观好看/有设计感,不易沾指纹/不易显脏,价格合适/性价比高,与平板搭配协调,耐用不易坏,品牌可信/品质稳定,轻薄便携","轻薄便携,与平板搭配协调,材质手感好,支架稳定/角度好用,耐用不易坏,外观好看/有设计感,触控笔收纳和拿取方便,防摔防磕/保护性强,不易沾指纹/不易显脏,价格合适/性价比高,品牌可信/品质稳定,颜色选择丰富",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,价格合适,外观看起来简洁,保护性较好,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付11-15元,肯定会购买,可能会购买,肯定会购买,-,-,非常喜欢非常适合自己,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付11-15元,肯定会购买,可能会购买,肯定会购买,-,-,非常喜欢非常适合自己,10.53s,两款都可以，没有明显偏好,非常喜欢非常适合自己,经常会,女,31-35岁,企业职员,一线,偏低,未知,上海,上海市
484,是,88909428,726476,1024659,"运动鞋,洗衣液/洗衣凝珠,奶茶/咖啡,室内绿植/花卉,贴片面膜,平板电脑保护套/壳,洗面奶/洁面乳,鼠标/机械键盘,无线蓝牙耳机,直升机,手机充电线/数据线,充电宝/移动电源,手机壳,手机贴膜",近12个月内,80–99元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"单壳（不带盖板）保护套,磁吸不可拆分保护套,旋转可拆分磁吸保护套","防摔防磕/保护性强,支架稳定/角度好用,触控笔收纳和拿取方便,材质手感好,价格合适/性价比高,品牌可信/品质稳定,轻薄便携,耐用不易坏,与平板搭配协调,不易沾指纹/不易显脏","支架稳定/角度好用,轻薄便携,价格合适/性价比高,不易沾指纹/不易显脏,防摔防磕/保护性强,材质手感好,触控笔收纳和拿取方便,品牌可信/品质稳定,耐用不易坏,与平板搭配协调",80-99元,可能会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"磁吸拆分方便,支撑看剧/学习/办公,价格合适,保护性较好,品牌/品质感较好,可旋转使用",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付6-10元,肯定会购买,肯定会购买,肯定会购买,-,-,使用方便。方便携带,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付6-10元,肯定会购买,肯定会购买,肯定会购买,-,-,愿意,28.4s,两款都可以，没有明显偏好,产品包装设计专业的,经常会,女,25-30岁,其他,三线,中等,"已婚,育婴期,已育,已有房,已有车",广东省,惠州市
485,是,88909429,726476,1024659,"洗面奶/洁面乳,运动鞋,手机壳,T恤/裙子,贴片面膜,平板电脑保护套/壳,抽纸/卷纸,室内绿植/花卉,桌面收纳,智能手表/手环,薯片/膨化食品,奶茶/咖啡,洗衣液/洗衣凝珠,鼠标/机械键盘,手机充电线/数据线",近12个月内,50–79元,主要由我自己决定，偶尔参考他人意见,Apple（苹果）,以上均无,美妆/个人护理类,本科,普通翻盖保护套,"防摔防磕/保护性强,支架稳定/角度好用,不易沾指纹/不易显脏,轻薄便携,价格合适/性价比高,耐用不易坏,与平板搭配协调","支架稳定/角度好用,防摔防磕/保护性强,价格合适/性价比高,轻薄便携,耐用不易坏,与平板搭配协调,不易沾指纹/不易显脏",50-79元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [一般];更丰富、更个性化的配色选择: [一般],愿意多付6-10元,可能会购买,说不清,-,-,-,不是必须用的功能,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付5元以内,可能会购买,说不清,-,-,-,不是必用功能,9.29s,光栅款,设计好看,有时会,女,36-40岁,自由职业/个体经营,五线,低,未知,河北省,保定市
486,是,88909461,726476,1024659,"奶茶/咖啡,洗衣液/洗衣凝珠,手机充电线/数据线,室内绿植/花卉,平板电脑保护套/壳,桌面收纳,贴片面膜,无线蓝牙耳机,运动鞋,薯片/膨化食品,洗面奶/洁面乳,抽纸/卷纸,T恤/裙子,平板电脑,智能手表/手环,手机壳,手机贴膜",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"旋转可拆分磁吸保护套,键盘保护套","防摔防磕/保护性强,支架稳定/角度好用,触控笔收纳和拿取方便,材质手感好,不易沾指纹/不易显脏,外观好看/有设计感,颜色选择丰富,轻薄便携,品牌可信/品质稳定,价格合适/性价比高,与平板搭配协调,耐用不易坏","与平板搭配协调,耐用不易坏,支架稳定/角度好用,外观好看/有设计感,触控笔收纳和拿取方便,材质手感好,防摔防磕/保护性强,颜色选择丰富,品牌可信/品质稳定,不易沾指纹/不易显脏,价格合适/性价比高,轻薄便携",120-149元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,支撑看剧/学习/办公,价格合适,品牌/品质感较好,保护性较好",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付6-10元,肯定会购买,可能会购买,可能会购买,-,-,全方位防震，笔槽方便随取  颜色搭配高级,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付6-10元,肯定会购买,可能会购买,可能会购买,-,-,比普通款的更防指纹,84.36s,光栅款,防指纹效果好,经常会,男,25-30岁,企业职员,六线,偏低,"单身,已有车",广东省,梅州市
487,是,88909462,726476,1024659,"运动鞋,室内绿植/花卉,桌面收纳,手机充电线/数据线,洗衣液/洗衣凝珠,手机贴膜,贴片面膜,洗面奶/洁面乳,抽纸/卷纸,智能手表/手环,手机壳,薯片/膨化食品,鼠标/机械键盘,奶茶/咖啡,充电宝/移动电源,T恤/裙子,无线蓝牙耳机,平板电脑",近13-24个月内,150–199元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"磁吸不可拆分保护套,透明/半透明保护壳","防摔防磕/保护性强,支架稳定/角度好用,材质手感好,触控笔收纳和拿取方便,不易沾指纹/不易显脏,外观好看/有设计感,颜色选择丰富,轻薄便携,品牌可信/品质稳定,价格合适/性价比高,与平板搭配协调,耐用不易坏","品牌可信/品质稳定,支架稳定/角度好用,价格合适/性价比高,防摔防磕/保护性强,耐用不易坏,材质手感好,不易沾指纹/不易显脏,外观好看/有设计感,触控笔收纳和拿取方便,与平板搭配协调,轻薄便携,颜色选择丰富",150-199元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,保护性较好,品牌/品质感较好",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付11-15元,可能会购买,可能会购买,可能不会购买,-,-,普通防护和功能已足够，，,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付16-20元,可能会购买,可能会购买,可能不会购买,-,-,外观设计不错的,16.02s,光栅款,外观设计更好,经常会,男,36-40岁,企业职员,二线,偏低,"已婚,已有车",江苏省,苏州市
488,是,88909465,726476,1024659,"抽纸/卷纸,T恤/裙子,平板电脑保护套/壳,洗面奶/洁面乳,充电宝/移动电源,洗衣液/洗衣凝珠,手机壳,奶茶/咖啡,薯片/膨化食品,运动鞋,贴片面膜,平板电脑",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"单壳（不带盖板）保护套,普通翻盖保护套,透明/半透明保护壳","防摔防磕/保护性强,材质手感好,不易沾指纹/不易显脏,外观好看/有设计感,轻薄便携,耐用不易坏,价格合适/性价比高,与平板搭配协调","防摔防磕/保护性强,材质手感好,耐用不易坏,价格合适/性价比高,不易沾指纹/不易显脏,外观好看/有设计感,轻薄便携,与平板搭配协调",120-149元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,保护性较好,价格合适",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付21元及以上,肯定会购买,肯定会购买,可能会购买,-,-,"防护：全方位防护防震缓震
功能：一机多态，随用随取，磁吸拆分结构，使用起来多功能化
配色手感：磨砂手感，配色小清新，适合这个季节",我已认真阅读,购买意愿: [肯定会购买],微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];光栅纹理背板的视觉效果: [比较吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,肯定会购买,可能会购买,说不清,-,-,"外观：在光面的基础上进行了升级，光棱背板增加了设计感。
防指纹：轻磨砂的质感，不容易留下指纹，更加耐脏，增加了使用寿命。
功能：防摔防震，磁吸可折叠，使用多功能化，可以根据不同的需求调整使用状态。",28.77s,光栅款,在价格相差不大的情况下，光栅款在光面款的基础上将背板调整为带纹理的微磨砂的背板，手感更加舒适，而且更加耐脏，不容易留下指纹，从外观上来看，也更加的有设计感更有层次感！,有时会,女,25-30岁,企业职员,二线,偏低,单身,湖北省,武汉市
489,是,88909473,726476,1024659,"手机充电线/数据线,洗衣液/洗衣凝珠,抽纸/卷纸,充电宝/移动电源,运动鞋,平板电脑,洗面奶/洁面乳,手机壳,平板电脑保护套/壳,智能手表/手环",近12个月内,200元及以上,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,硕士及以上,旋转可拆分磁吸保护套,"触控笔收纳和拿取方便,价格合适/性价比高,与平板搭配协调,品牌可信/品质稳定,支架稳定/角度好用,材质手感好,轻薄便携,防摔防磕/保护性强,外观好看/有设计感,不易沾指纹/不易显脏","支架稳定/角度好用,防摔防磕/保护性强,触控笔收纳和拿取方便,轻薄便携,外观好看/有设计感,材质手感好,价格合适/性价比高,品牌可信/品质稳定,不易沾指纹/不易显脏,与平板搭配协调",200元及以上,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"磁吸拆分方便,可旋转使用",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付21元及以上,可能会购买,可能会购买,可能会购买,-,-,手感好，可以竖放，摆放时调整角度大，可拆卸不累手,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付16-20元,可能会购买,可能会购买,可能会购买,-,-,防指纹，纹理有质感,18.1s,光栅款,长时间使用防手滑，防指纹，看起来更高级,有时会,女,25-30岁,专业人士,二线,偏高,未知,吉林省,长春市
490,是,88909482,726476,1024659,"手机壳,洗面奶/洁面乳,抽纸/卷纸,室内绿植/花卉,充电宝/移动电源,直升机,运动鞋,无线蓝牙耳机,手机充电线/数据线,洗衣液/洗衣凝珠,手机贴膜,T恤/裙子,桌面收纳,薯片/膨化食品,奶茶/咖啡,鼠标/机械键盘,平板电脑,智能手表/手环,平板电脑保护套/壳",近13-24个月内,100–119元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"普通翻盖保护套,磁吸不可拆分保护套,旋转可拆分磁吸保护套,键盘保护套,透明/半透明保护壳,带笔槽保护套","不易沾指纹/不易显脏,品牌可信/品质稳定,耐用不易坏,颜色选择丰富,触控笔收纳和拿取方便,材质手感好,轻薄便携,价格合适/性价比高","不易沾指纹/不易显脏,耐用不易坏,价格合适/性价比高,颜色选择丰富,触控笔收纳和拿取方便,材质手感好,轻薄便携,品牌可信/品质稳定",100-119元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [比较吸引],"磁吸拆分方便,保护性较好,外观看起来简洁,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付16-20元,可能会购买,可能会购买,肯定会购买,-,-,磨砂手感很好，一机多快，随取随用，全方位防御,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [一般];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [一般],愿意多付16-20元,可能会购买,可能会购买,可能会购买,-,-,外观简洁，很喜欢，摸上手感很棒,8.29s,两款都可以，没有明显偏好,不能感觉比较好，能够起到一个防护的作用,经常会,女,25-30岁,自由职业/个体经营,五线,偏高,未知,广西壮族自治区,南宁市
491,是,88909511,726476,1024659,"智能手表/手环,手机贴膜,贴片面膜,平板电脑保护套/壳,手机壳,桌面收纳,奶茶/咖啡",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,磁吸不可拆分保护套,"支架稳定/角度好用,不易沾指纹/不易显脏","支架稳定/角度好用,不易沾指纹/不易显脏",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [比较吸引],"磁吸拆分方便,外观看起来简洁",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [一般],愿意多付6-10元,肯定会购买,说不清,-,-,-,一定程度多在大专的人和多部影片看不完但我觉得还是会期待啊期待你下次回归更有感觉呀好好看,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],即使同价也更倾向升级光面款,可能会购买,说不清,-,-,-,是因为一次的经历而不应该忘记一场没有人,5.14s,升级光面款,一切为了人民利益为中心维护好党群安全关系至为党民所能维护党中央,有时会,女,31-35岁,自由职业/个体经营,三线,高,"已婚,育婴期,已育,装修期,已有房,已有车",浙江省,绍兴市
492,是,88909533,726476,1024659,"平板电脑,运动鞋,手机壳,洗面奶/洁面乳,抽纸/卷纸,洗衣液/洗衣凝珠,充电宝/移动电源,智能手表/手环,薯片/膨化食品,平板电脑保护套/壳,无线蓝牙耳机,桌面收纳,室内绿植/花卉,手机充电线/数据线,手机贴膜,奶茶/咖啡,鼠标/机械键盘,T恤/裙子,贴片面膜",近12个月内,150–199元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,旋转可拆分磁吸保护套,"支架稳定/角度好用,触控笔收纳和拿取方便,价格合适/性价比高,品牌可信/品质稳定,与平板搭配协调,防摔防磕/保护性强","防摔防磕/保护性强,触控笔收纳和拿取方便,支架稳定/角度好用,品牌可信/品质稳定,价格合适/性价比高,与平板搭配协调",150-199元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,保护性较好,价格合适,外观看起来简洁,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,肯定会购买,-,-,功能齐全，多个选择，吸引我购买，使用方便。,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,肯定会购买,-,-,功能齐全，更强大，质感很好，值得购买。,27.76s,光栅款,功能性更强大，我喜欢这种设计感。,经常会,男,25-30岁,其他,五线,低,"已婚,育婴期,已育,已有房,已有车",河北省,邢台市
